Product Name,Link
3,https://www.amazon.co.jp/Python%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%AA%E3%83%95%E3%82%A1%E3%83%AC%E3%83%B3%E3%82%B9-%E7%AC%AC4%E7%89%88-Alex-Martelli/dp/4814400810#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/Python%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%AA%E3%83%95%E3%82%A1%E3%83%AC%E3%83%B3%E3%82%B9-%E7%AC%AC4%E7%89%88-Alex-Martelli/dp/4814400810
"￥5,280￥5,280",https://www.amazon.co.jp/Python%E3%82%AF%E3%82%A4%E3%83%83%E3%82%AF%E3%83%AA%E3%83%95%E3%82%A1%E3%83%AC%E3%83%B3%E3%82%B9-%E7%AC%AC4%E7%89%88-Alex-Martelli/dp/4814400810
Guido van Rossum,https://www.amazon.co.jp/Guido-van-Rossum/e/B0034OPA4K?ref=sr_ntt_srch_lnk_5&sr=8-5
240,https://www.amazon.co.jp/Python%E3%83%81%E3%83%A5%E3%83%BC%E3%83%88%E3%83%AA%E3%82%A2%E3%83%AB-%E7%AC%AC4%E7%89%88-Guido-van-Rossum/dp/4873119359#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/Python%E3%83%81%E3%83%A5%E3%83%BC%E3%83%88%E3%83%AA%E3%82%A2%E3%83%AB-%E7%AC%AC4%E7%89%88-Guido-van-Rossum/dp/4873119359
"￥1,980￥1,980",https://www.amazon.co.jp/Python%E3%83%81%E3%83%A5%E3%83%BC%E3%83%88%E3%83%AA%E3%82%A2%E3%83%AB-%E7%AC%AC4%E7%89%88-Guido-van-Rossum/dp/4873119359
(38点の中古品と新品),https://www.amazon.co.jp/gp/offer-listing/4873119359/ref=sr_1_5_olp?keywords=python+%E6%9C%AC&sr=8-5
酒井 潤,https://www.amazon.co.jp/%25E9%2585%2592%25E4%25BA%2595-%25E6%25BD%25A4/e/B01C9Q9QC0?ref=sr_ntt_srch_lnk_6&sr=8-6
372,https://www.amazon.co.jp/%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%90%E3%83%AC%E3%83%BC%E4%B8%80%E6%B5%81%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B-Python%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%A4%A7%E5%85%A8-%E9%85%92%E4%BA%95-%E6%BD%A4/dp/4046057548#customerReviews
単行本,https://www.amazon.co.jp/%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%90%E3%83%AC%E3%83%BC%E4%B8%80%E6%B5%81%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B-Python%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%A4%A7%E5%85%A8-%E9%85%92%E4%BA%95-%E6%BD%A4/dp/4046057548
"￥2,860￥2,860",https://www.amazon.co.jp/%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%90%E3%83%AC%E3%83%BC%E4%B8%80%E6%B5%81%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B-Python%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%A4%A7%E5%85%A8-%E9%85%92%E4%BA%95-%E6%BD%A4/dp/4046057548
(42点の中古品と新品),https://www.amazon.co.jp/gp/offer-listing/4046057548/ref=sr_1_6_olp?keywords=python+%E6%9C%AC&sr=8-6
Kindle版 (電子書籍),https://www.amazon.co.jp/%E3%82%B7%E3%83%AA%E3%82%B3%E3%83%B3%E3%83%90%E3%83%AC%E3%83%BC%E4%B8%80%E6%B5%81%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9E%E3%83%BC%E3%81%8C%E6%95%99%E3%81%88%E3%82%8B-Python%E3%83%97%E3%83%AD%E3%83%95%E3%82%A7%E3%83%83%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%A4%A7%E5%85%A8-%E9%85%92%E4%BA%95-%E6%BD%A4-ebook/dp/B0B86X674R
クジラ飛行机,https://www.amazon.co.jp/%25E3%2582%25AF%25E3%2582%25B8%25E3%2583%25A9%25E9%25A3%259B%25E8%25A1%258C%25E6%259C%25BA/e/B004LUJAJC?ref=sr_ntt_srch_lnk_7&sr=8-7
杉山 陽一,https://www.amazon.co.jp/%25E6%259D%2589%25E5%25B1%25B1-%25E9%2599%25BD%25E4%25B8%2580/e/B0FF9HP777?ref=sr_ntt_srch_lnk_7&sr=8-7
10,https://www.amazon.co.jp/Python%E3%81%A7%E3%81%A4%E3%81%8F%E3%82%8B-Web%E3%82%A2%E3%83%97%E3%83%AA%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E6%96%B9-%E3%82%AF%E3%82%B8%E3%83%A9%E9%A3%9B%E8%A1%8C%E6%9C%BA/dp/4802614969#customerReviews
単行本（ソフトカバー）,https://www.amazon.co.jp/Python%E3%81%A7%E3%81%A4%E3%81%8F%E3%82%8B-Web%E3%82%A2%E3%83%97%E3%83%AA%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E6%96%B9-%E3%82%AF%E3%82%B8%E3%83%A9%E9%A3%9B%E8%A1%8C%E6%9C%BA/dp/4802614969
"￥3,520￥3,520",https://www.amazon.co.jp/Python%E3%81%A7%E3%81%A4%E3%81%8F%E3%82%8B-Web%E3%82%A2%E3%83%97%E3%83%AA%E3%81%AE%E3%81%A4%E3%81%8F%E3%82%8A%E6%96%B9-%E3%82%AF%E3%82%B8%E3%83%A9%E9%A3%9B%E8%A1%8C%E6%9C%BA/dp/4802614969
